A B C
-7.2799134126691056266451840777027E+00 -7.2799134126693057722714269676439E+00 -7.2799134126693059646835248976983E+00
-5.0408767455953674783011064383064E+00 -5.0408767455954397475212013422760E+00 -5.0408767455954398406647424727342E+00
-4.7337561326477542250296076461993E+00 -4.7337561326477673900943231866348E+00 -4.7337561326477674062227944334978E+00
-4.6297836378787048374501707492246E+00 -4.6297836378787098755063098322290E+00 -4.6297836378787098819550914330533E+00
-4.5824279938844878634527688149805E+00 -4.5824279938844903436000587822466E+00 -4.5824279938844903468283799512230E+00
-4.5569532239410281840505834013516E+00 -4.5569532239410295895156736028852E+00 -4.5569532239410295913593651861482E+00
-4.5416933598552009409804122783414E+00 -4.5416933598552018146542097778810E+00 -4.5416933598552018158051157331342E+00
-4.5318360400275914244431086928199E+00 -4.5318360400275920046341904217681E+00 -4.5318360400275920054004213885694E+00
